Nome_Produto,Categoria,Sub_Categoria,Tipo,Preco_EUR,Descricao,Para_Que_Serve,Tecnologia,Disponibilidade,Ideal_Para_Influencer,Notas_Parceria
RF Facial Cream 500ml,Facial,Creme Facial,Creme,26.90,Creme facial firmador com radiofrequência 500ml,Firmeza e anti-envelhecimento facial,Radiofrequência,Disponível,Sim,Produto âncora da marca — excelente para gifting inicial
RF Facial Cream 1000ml,Facial,Creme Facial,Creme,38.90,Creme facial firmador com radiofrequência 1000ml,Firmeza e anti-envelhecimento facial,Radiofrequência,Disponível,Sim,Tamanho profissional — destaque em conteúdo de rotina
Serum Triphasic 100ml,Facial,Sérum,Sérum,32.90,Sérum trifásico anti-manchas,Manchas / Uniformização do tom de pele,,Disponível,Sim,Apela a público +35 preocupado com manchas solares
RF Cleanmas 1000ml,Facial,Limpeza,Limpador,26.90,Limpador 4 em 1 desmaquilhante com fórmula RF,Limpeza e preparação da pele para tratamento RF,Radiofrequência,Disponível,Sim,Produto de rotina diária — fácil de integrar em conteúdo
Collagenmas Máscara x5,Facial,Máscara,Máscara,15.90,Pack com 5 máscaras hidratantes e firmadoras de colagénio,Hidratação intensa e firmeza facial,Colagénio,Disponível,Sim,Produto acessível — bom para gifting e conteúdo de unboxing
Eyemas 30ml,Facial,Contorno dos Olhos,Creme,34.90,Tratamento específico para o contorno dos olhos,Olheiras / Pálpebras caídas / Rugas finas,,Disponível,Sim,Muito apelativo para público +35 — olhos são zona sensível desta faixa etária
Scrubmas Glow,Facial,Esfoliante,Esfoliante,34.90,Esfoliante facial iluminador,Renovação celular / Luminosidade,,Disponível,Sim,Bom para conteúdo de ritual de beleza semanal
Peptidmas 90 cápsulas,Facial,Suplemento Oral,Suplemento,24.90,Cápsulas orais anti-rugas com péptidos,Redução de rugas de dentro para fora,Péptidos,Disponível,Sim,Diferenciador — combina suplemento com cosmético tópico
Lipmas SPF 30,Facial,Cuidado dos Lábios,Bálsamo,6.90,Bálsamo labial hidratante com proteção solar SPF30,Hidratação e proteção dos lábios,SPF,Disponível,Talvez,Produto de entrada — preço acessível mas baixo impacto visual
RF Face Device,Dispositivos,Dispositivo Facial,Dispositivo,79.90,Dispositivo de radiofrequência facial para uso doméstico,Flacidez facial / Anti-rugas / Firmeza,Radiofrequência,Disponível,Sim,Alto impacto visual em vídeo — ideal para Reels de demonstração
RF Face Device Plus,Dispositivos,Dispositivo Facial,Dispositivo,112.90,Dispositivo avançado de radiofrequência facial,Flacidez facial avançada / Anti-envelhecimento intensivo,Radiofrequência,Disponível,Sim,Versão premium — bom para influencers de lifestyle premium
RF Eye Device,Dispositivos,Dispositivo Ocular,Dispositivo,60.90,Dispositivo de radiofrequência específico para a zona dos olhos,Contorno dos olhos / Olheiras / Pálpebras,Radiofrequência,Disponível,Sim,Nicho específico — muito apelativo para público +40
LED Mask Device,Dispositivos,Dispositivo Facial,Dispositivo,122.90,Máscara LED de terapia anti-envelhecimento,Anti-envelhecimento / Luminosidade / Regeneração,Terapia LED,Disponível,Sim,Produto visualmente impactante — alto potencial viral em Reels
Beautymas Device,Dispositivos,Dispositivo Facial,Dispositivo,48.90,Dispositivo LED anti-envelhecimento compacto,Anti-envelhecimento / Cuidado facial,Terapia LED,Disponível,Talvez,Versão mais acessível da LED Mask
Neck Rejuvenation Device,Dispositivos,Dispositivo Pescoço,Dispositivo,43.90,Dispositivo de rejuvenescimento específico para pescoço e papada,Pescoço / Papada / Firmeza do decote,,Disponível,Sim,Zona muito procurada por mulheres +40 — bom diferenciador
Hairmas Device,Dispositivos,Dispositivo Capilar,Dispositivo,112.90,Dispositivo de secagem e modelação capilar profissional,Styling e secagem capilar,,Disponível,Talvez,Fora do core dermo — avaliar fit com influencers de beleza total
RF Body Device,Dispositivos,Dispositivo Corporal,Dispositivo,99.90,Dispositivo de radiofrequência para uso corporal doméstico,Celulite / Flacidez corporal,Radiofrequência,Disponível,Sim,Para influencers focadas em corpo e bem-estar
Lipomas Device,Dispositivos,Dispositivo Corporal,Dispositivo,89.90,Aparelho de lipoaspiração 2 em 1,Celulite / Lipoaspiração não invasiva,,Disponível,Talvez,Produto novo — sem reviews ainda
RF Body Firming 1000ml,Corporal,Creme Corporal,Creme,28.90,Creme firmador corporal com radiofrequência 1000ml,Flacidez corporal / Firmeza,Radiofrequência,Disponível,Sim,Produto mais vendido da marca (3.933 reviews) — excelente para primeiras parcerias
RF Body Slim 500ml,Corporal,Creme Anticelulite,Creme,26.90,Creme anticelulite com radiofrequência 500ml,Celulite / Perda de volume,Radiofrequência,Disponível,Sim,1.570 reviews — muito credível para parcerias de corpo
